ID_NAME_PAIR,NUM_REGISTERED_VOTERS
"('690480', 'EVELETH P-2')",322
"('490225', 'SOBIESKI')",122
"('500175', 'RACINE TWP.')",298
"('640060', 'LAMBERTON')",464
"('560260', 'LEAF LAKE TWP')",379
"('690437', ""EAGLE'S NEST TWP."")",189
"('350115', 'NORWAY TWP')",46
"('680135', 'POLONIA TOWNSHIP')",20
"('20005', 'ANDOVER P-1')",2182
"('140095', 'GOOSE PRAIRIE TWP')",121
"('650005', 'BANDON TWP.')",96
"('230090', 'HOLT TWP.')",172
"('250025', 'CANNON FALLS P-2')",1320
"('621180', 'ST. PAUL W-5 P-03')",1974
"('690175', 'DULUTH P-8')",1931
"('620460', 'ROSEVILLE P-04')",3319
"('850150', 'WILSON TWP')",704
"('360070', 'JAMESON PRECINCT')",100
"('10190', 'TAMARACK')",33
"('80085', 'NEW ULM W-1 P-2')",1031
"('22505', 'OAK GROVE P-1')",1633
"('621320', 'ST. PAUL W-6 P-04')",1843
"('600200', 'FISHER')",221
"('760075', 'HAYES TWP.')",119
"('630065', 'RED LAKE FALLS W-1')",238
"('800020', 'BULLARD TWP.')",128
"('210010', 'ALEXANDRIA W-2')",1618
"('850125', 'STOCKTON')",436
"('830090', 'ROSENDALE TWP')",206
"('390046', '0046 - 4-C N MCDOUGALD UNORG')",69
"('850200', 'WINONA W-3 P-2')",915
"('30055', 'DETROIT LAKES W1 P1')",1541
"('271790', 'MINNEAPOLIS W-9 P-09')",1151
"('560380', 'ROTHSAY')",129
"('750073', 'MORRIS P-1B')",572
"('810110', 'WILTON TWP.')",237
"('10135', 'MALMO TWP')",236
"('220075', 'EMERALD TWP.')",143
"('580125', 'KETTLE RIVER TWP.')",326
"('60070', 'ODESSA')",57
"('810105', 'WASECA W-3 P-B')",760
"('610065', 'HOFF TWP.')",82
"('600255', 'GULLY TWP.')",75
"('340045', 'FAHLUN TWP.')",248
"('90005', 'ATKINSON TWP')",260
"('130035', 'FISH LAKE TWP')",1364
"('450070', 'EAST PARK TWP.')",9
"('80020', 'COBDEN')",19
"('860175', 'STOCKHOLM TWP')",554
"('870125', 'ST LEO')",61
"('690295', 'DULUTH P-29')",1684
"('90115', 'MOOSE LAKE TWP')",625
"('690760', 'KELSEY TWP.')",95
"('340010', 'ATWATER')",603
"('240065', 'ALDEN')",381
"('780030', 'FOLSOM TWP.')",67
"('550128', 'ROCHESTER W2 P4')",1389
"('560305', 'OAK VALLEY TWP')",198
"('621340', 'ST. PAUL W-6 P-06')",2354
"('271130', 'HOPKINS P-05')",1612
"('160025', 'HOVLAND PREC 2')",238
"('180225', 'NOKAY LAKE TWP')",551
"('271700', 'MINNEAPOLIS W-8 P-01')",1355
"('490025', 'BUCKMAN')",149
"('170135', 'WINDOM W-1 P-2')",765
"('500085', 'CLAYTON TWP.')",114
"('870135', 'SIOUX AGENCY TWP')",149
"('680020', 'BEAVER TOWNSHIP')",58
"('310020', 'BALL CLUB PREC')",235
"('192740', 'INVER GROVE HTS P-04')",2497
"('430120', 'RICH VALLEY TOWNSHIP')",447
"('140195', 'MOORHEAD CITY W-3 P-7')",1281
"('570195', 'WYANDOTTE TWP')",46
"('690075', 'BROOKSTON')",48
"('550112', 'ROCHESTER W1 P9')",1044
"('90135', 'SCANLON')",589
"('80045', 'HANSKA')",200
"('500050', 'AUSTIN W-3 P-1')",1411
"('790045', 'HIGHLAND TWP.')",285
"('520065', 'NICOLLET TOWNSHIP')",332
"('510030', 'CHANDLER')",121
"('560385', 'RUSH LAKE TWP')",690
"('110255', 'SLATER TWP')",136
"('730420', 'SAUK CENTRE')",2331
"('260070', 'LOGAN TWP')",59
"('10040', 'FARM ISLAND TWP')",812
"('271560', 'MINNEAPOLIS W-5 P-02')",2147
"('193810', 'NORTHFIELD W-3 P-2')",796
"('590115', 'TROSKY')",54
"('300037', 'ISANTI P-2')",1297
"('710075', 'ORROCK TWP')",2216
"('90035', 'CARLTON')",585
"('470080', 'GREENLEAF TWP.')",498
"('310230', 'LAWRENCE TWP')",296
"('220115', 'MINNESOTA LAKE TWP.')",124
"('860160', 'SILVER CREEK TWP')",1648
"('750010', 'BAKER TWP.')",81
"('271365', 'MINNEAPOLIS W-1 P-02')",2786
"('90020', 'BARNUM TWP')",714
"('621720', 'WHITE BEAR TWP P-3')",818
"('170005', 'AMBOY TWP')",91
"('480085', 'MUDGETT TWP.')",52
"('10132', 'MILLWARD TWP')",33
"('30075', 'DETROIT LAKES W3 P1')",1982
"('150056', 'RED LAKE RESERVATION')",14
"('22220', 'LINO LAKES P-4')",2296
"('230010', 'ARENDAHL TWP.')",216
"('621680', 'VADNAIS HEIGHTS P-3')",2041
"('310271', 'MORSE TWP P-2')",0
"('272810', 'ST LOUIS PARK W-2 P-05')",1458
"('192630', 'HASTINGS W-2 P-1')",1470
"('360170', 'MEADOWBROOK PRECINCT')",74
"('550011', 'CASCADE TWP. P-2A')",193
"('21120', 'COON RAPIDS W-2 P-4')",1226
"('110050', 'BOY RIVER CITY')",23
"('140265', 'ULEN TWP')",94
"('700153', 'SHAKOPEE P-11')",1382
"('420105', 'MARSHALL W-2')",2617
"('100055', 'CHASKA W-4')",3606
"('850020', 'ELBA')",95
"('271555', 'MINNEAPOLIS W-5 P-01')",2195
"('130095', 'SUNRISE TWP')",1235
"('690960', 'UNORG. PRCT. 14')",501
"('730010', 'ALBANY TWP')",598
"('840105', 'MEADOWS TWP.')",37
"('480090', 'ONAMIA')",424
"('550172', 'ROCHESTER W5 P1')",1533
"('272265', 'MOUND P-4')",1554
"('620200', 'MAPLEWOOD P-08')",2030
"('380050', 'SILVER BAY P-2')",770
"('350005', 'ARVESON TWP')",59
"('70095', 'MADISON LAKE')",711
"('850175', 'WINONA W-2 P-1')",1008
"('260055', 'LAND TWP')",159
"('10175', 'SHAMROCK TWP')",786
"('690800', 'MEADOWLANDS TWP')",194
"('120010', 'CLARA CITY')",899
"('30135', 'LAKE PARK TWP')",312
"('271850', 'MINNEAPOLIS W-10 P-10')",2002
"('410085', 'ROYAL TWP')",103
"('270205', 'BROOKLYN CENTER P-02')",2012
"('193410', 'MENDOTA HTS P-1')",1919
"('691002', 'UNORG. PRCT. 21')",108
"('20020', 'ANDOVER P-4')",1834
"('271495', 'MINNEAPOLIS W-3 P-08')",1588
"('180235', 'PELICAN TWP')",364
"('270410', 'BROOKLYN PARK W-W P-4')",2102
"('660070', 'MORRISTOWN TWP.')",433
"('350105', 'MCKINLEY UNORG')",21
"('621670', 'VADNAIS HEIGHTS P-2')",2442
"('250125', 'RED WING W-2 P-1')",1316
"('470025', 'COSMOS')",275
"('621170', 'ST. PAUL W-5 P-02')",2464
"('740070', 'OWATONNA W-1 P-1')",1423
"('550146', 'ROCHESTER W3 P4')",1371
"('10035', 'CORNISH TWP')",26
"('210150', 'ORANGE TWP.')",209
"('410060', 'LAKE BENTON TWP')",145
"('180045', 'BRAINERD W-4 P-1')",947
"('220160', 'WINNEBAGO')",709
"('600025', 'BELTRAMI')",47
"('690575', 'GREAT SCOTT TWP. P-1')",294
"('690070', 'BREVATOR TWP.')",682
"('690545', 'FRENCH TWP.')",424
"('180085', 'CUYUNA CITY')",167
"('770090', 'HARTFORD TWP')",382
"('540075', 'HENDRUM TWP.')",51
"('272155', 'MINNETONKA W-3 P-C')",1568
"('250065', 'HAY CREEK TWP.')",588
"('550095', 'QUINCY TWP.')",191
"('110075', 'CASS LAKE')",284
"('580105', 'HINCKLEY')",775
"('290135', 'STEAMBOAT RIVER TWP. P-1')",80
"('810010', 'BLOOMING GROVE TWP.')",374
"('560175', 'FERGUS FALLS W-1 P-2')",876
"('680005', 'BADGER')",246
"('691160', 'KABETOGAMA TWP')",104
"('150120', 'SHEVLIN TWP')",272
"('194810', 'WATERFORD TWP')",345
"('310215', 'KEEWATIN')",617
"('620750', 'ST. PAUL W-2 P-08')",1210
"('600455', 'WOODSIDE TWP.')",336
"('180220', 'NISSWA CITY')",1428
"('191250', 'BURNSVILLE P-05')",1635
"('660114', 'NORTHFIELD W-4 P-2')",1197
"('850170', 'WINONA W-1 P-4')",977
"('840075', 'DEERHORN TWP.')",65
"('150110', 'RICE TWP')",86
"('580035', 'BROOK PARK')",53
"('610100', 'NEW PRAIRIE TWP.')",127
"('340080', 'KANDIYOHI TWP.')",397
"('130055', 'LINDSTROM')",2877
"('270100', 'BLOOMINGTON W-3 P-20')",1742
"('620960', 'ST. PAUL W-3 P-13')",1810
"('271665', 'MINNEAPOLIS W-7 P-05')",2290
"('160020', 'GRAND PORTAGE PREC 1')",207
"('271895', 'MINNEAPOLIS W-11 P-08')",2137
"('430140', 'SUMTER TOWNSHIP')",313
"('410015', 'ASH LAKE TWP')",111
"('270320', 'BROOKLYN PARK W-C P-5')",2178
"('620080', 'GEM LAKE P-1')",314
"('621010', 'ST. PAUL W-4 P-02')",1258
"('330025', 'COMFORT TWP.')",648
"('760120', 'PILLSBURY TWP.')",163
"('680085', 'LAKE TOWNSHIP')",1008
"('400062', 'LANESBURGH TWP.')",1296
"('460030', 'ELM CREEK TWP.')",121
"('20825', 'COLUMBIA HEIGHTS P-5')",1451
"('710024', 'BIG LAKE CITY P-03')",2898
"('70142', 'MANKATO W-04 P-10A')",1472
"('570030', 'GOODRIDGE TWP')",39
"('270065', 'BLOOMINGTON W-2 P-25')",1609
"('20115', 'ANOKA P-3')",1407
"('270485', 'CHANHASSEN P-01')",0
"('230055', 'CHATFIELD TWP.')",358
"('590025', 'EDGERTON')",759
"('420025', 'COTTONWOOD')",673
"('500080', 'BROWNSDALE')",382
"('390050', '0050 - 5-A UNORG')",329
"('320150', 'WISCONSIN TWP.')",133
"('730414', 'SARTELL P-7')",1936
"('680100', 'MALUNG TOWNSHIP')",271
"('272725', 'SHOREWOOD P-2')",1641
"('170110', 'STORDEN')",140
"('110125', 'HOME BROOK TWP')",147
"('620850', 'ST. PAUL W-3 P-02')",2427
"('30210', 'SUGAR BUSH TWP')",327
"('271820', 'MINNEAPOLIS W-10 P-04')",1927
"('550020', 'DOVER')",423
"('140180', 'MOORHEAD CITY W-2 P-5B')",720
"('740060', 'MERIDEN TWP.')",407
"('530005', 'ADRIAN')",597
"('540050', 'GREEN MEADOW TWP.')",58
"('700010', 'BELLE PLAINE TWP.')",600
"('710100', 'ST CLOUD W2 P7')",1479
"('650160', 'SACRED HEART')",273
"('770005', 'BARTLETT TWP')",243
"('220015', 'BLUE EARTH W-2')",667
"('271642', 'MINNEAPOLIS W-6 P-09')",2005
"('272770', 'ST ANTHONY P-02')",2326
"('460020', 'DUNNELL')",105
"('193910', 'RANDOLPH CITY')",281
"('192210', 'FARMINGTON P-1')",1111
"('22005', 'HILLTOP P-1')",308
"('840055', 'CAMPBELL CITY')",108
"('110030', 'BEULAH TWP')",50
"('230140', 'PRESTON')",759
"('430050', 'GLENCOE TOWNSHIP')",333
"('22520', 'OAK GROVE P-4')",921
"('270131', 'BLOOMINGTON W-4 P-31')",1005
"('340115', 'NEW LONDON TWP.')",2020
"('730280', 'ST CLOUD W1 P5')",812
"('180130', 'FORT RIPLEY CITY')",39
"('510075', 'IONA')",85
"('690840', 'NESS TWP.')",41
"('250105', 'PINE ISLAND TWP.')",387
"('150095', 'NORA TWP')",268
"('290090', 'LAKE HATTIE TWP.')",113
"('191100', 'APPLE VALLEY P-10')",2048
"('193450', 'MENDOTA HTS P-5')",1654
"('271470', 'MINNEAPOLIS W-3 P-03')",2927
"('110005', 'ANSEL TWP')",46
"('770010', 'BERTHA')",244
"('270975', 'FORT SNELLING P-01')",124
"('680195', 'WARROAD')",877
